Código,Nome,Unidade,Quantidade,Total custo,Total venda,Valor lucro,%Lucro
14,BOLERO BAMBU,UN,5,"0,00","265,30","265,30","100,00%"
0015,BLUSA LÃ FEM ESTAMPADA,UN,1,"49,90","96,66","46,76","48,37%"
015,CARDIGÃ LÃ,UN,2,"45,50","113,70","68,20","59,98%"
016,BLUSA DE RENDA,UN,3,"119,70","226,20","106,50","47,08%"
0017,BLUSA CINZA NEW YORK LOS ANGELES,UN,1,"30,00","30,00","0,00","0,00%"
017,CARDIGAN LA RENDA,UN,3,"111,80","243,15","131,35","54,02%"
018,BLUSA CANOA,UN,1,"49,90","107,40","57,50","53,53%"
0018,BERMUDA,UN,2,"109,80","239,80","130,00","54,21%"
0019,SAIA ESTAMP BRANCA C CINTO,UN,1,"45,00","135,00","90,00","66,66%"
019,BERMUDINHA MEIA COXA,UN,1,"0,00","20,00","20,00","100,00%"
020,CASACO LISO,UN,2,"71,80","154,80","83,00","53,61%"
0020,SHORT 38,UN,1,"32,00","84,00","52,00","61,90%"
22,BRINCO CRIS,UN,1,"0,00","22,00","22,00","100,00%"
00024,REGATA DE CETIM,UN,1,"23,40","46,80","23,40","50,00%"
024,BRINCO,UN,1,"24,00","51,60","27,60","53,48%"
0025,BRINCO,UN,1,"19,00","37,25","18,25","48,99%"
26,CINTO CORAL,UN,1,"0,00","39,90","39,90","100,00%"
0027,CONJUNTO,UN,2,"0,00","319,80","319,80","100,00%"
030,BRINCO ANA,UN,1,"30,00","64,50","34,50","53,48%"
32,ANEL DOURADO FABIANO,UN,8,"240,00","469,40","229,40","48,87%"
0032,BLUSA,UN,1,"0,00","89,90","89,90","100,00%"
33,ANEL PEDRA FABIANO,UN,2,"95,00","180,00","85,00","47,22%"
034,SHORT BOLSO FLORAL,UN,2,"0,00","94,00","94,00","100,00%"
00035,ANEL FABIANO,UN,5,"175,00","299,70","124,70","41,60%"
035,SHORTS SAIA,UN,2,"149,80","302,10","152,30","50,41%"
35,BLUSA,UN,2,"79,80","177,60","97,80","55,06%"
000036,CALÇA,UN,1,"39,99","85,90","45,91","53,44%"
037,BLUSA BABADO,UN,6,"281,40","489,16","207,76","42,47%"
038,SHORTS,UN,1,"74,90","79,50","4,60","5,78%"
039,CALÇA JEANS,UN,8,"0,00","882,50","882,50","100,00%"
040,CALÇA JEANS,UN,4,"0,00","420,00","420,00","100,00%"
0041,BOLSA MINI,UN,1,"22,50","45,00","22,50","50,00%"
041,CALÇA JEANS,UN,9,"0,00","1.035,00","1.035,00","100,00%"
0043,BOLSA BEGE,UN,1,"22,50","93,00","70,50","75,80%"
043,CALÇA JEANS,UN,16,"0,00","1.755,09","1.755,09","100,00%"
00044,BLUSA,UN,1,"59,90","128,70","68,80","53,45%"
00045,ANEL PEDRA FABIANO,UN,7,"315,00","598,70","283,70","47,38%"
045,BLUSA PLUS ESTAMPA PÉROLA GOLA,UN,1,"46,90","130,00","83,10","63,92%"
046,CALÇA JEANS,UN,4,"0,00","402,50","402,50","100,00%"
047,CALÇA JEANS,UN,2,"0,00","195,50","195,50","100,00%"
48,BRINCO,UN,1,"24,00","42,99","18,99","44,17%"
000049,BLUSA,UN,1,"34,99","81,22","46,23","56,91%"
049,CALÇA JEANS,UN,8,"0,00","785,00","785,00","100,00%"
050,CASACO JEANS,UN,5,"0,00","564,99","564,99","100,00%"
